Amplitude,Beyond1Std,Con,MaxSlope,MedianAbsDev,MedianBRP,PairSlopeTrend,Rcs,Skew,SmallKurtosis,Std,StestonK,VariabilityIndex,meanvariance
1.95888,0.336,0.00201,186.90193,0.54539,0.354,-0.03333,0.38803,0.55564,-0.75895,0.83735,0.85294,0.15143,36.17658
2.19896,0.356,0.00402,186.99878,0.50717,0.454,-0.03333,0.3776,0.65332,-0.5651,0.81916,0.84359,0.14802,20.05369
1.95646,0.342,0.00602,175.74892,0.4607,0.432,-0.1,0.37999,0.65202,-0.63719,0.8266,0.83969,0.14399,19.3923
2.16921,0.35,0.0,188.44788,0.52498,0.414,-0.03333,0.39244,0.52879,-0.66524,0.8442,0.84898,0.13738,35.27806
2.14899,0.352,0.01205,185.18812,0.48331,0.458,0.1,0.39045,0.69208,-0.49524,0.8462,0.83544,0.12903,33.05125
1.99915,0.334,0.00201,254.7525,0.5243,0.37,0.23333,0.39872,0.52998,-0.74049,0.83496,0.847,0.1402,42.33418
2.03497,0.31,0.01406,197.92716,0.45891,0.456,0.1,0.36733,0.76278,-0.43494,0.85834,0.83138,0.13516,17.45541
1.97491,0.346,0.00402,209.8446,0.45267,0.442,-0.1,0.37871,0.69793,-0.69516,0.84035,0.84538,0.12179,18.14454
1.91669,0.298,0.00402,153.76422,0.44432,0.448,-0.1,0.37979,0.70729,-0.60902,0.82227,0.85051,0.13548,20.9112
2.01157,0.318,0.00803,176.70971,0.45601,0.432,0.16667,0.36945,0.72162,-0.62038,0.83155,0.84358,0.13918,13.28673
1.89687,0.332,0.01004,172.68436,0.48363,0.376,-0.03333,0.39587,0.681,-0.62579,0.82286,0.84273,0.1448,54.80239
2.21585,0.35,0.01004,228.74957,0.50539,0.438,-0.03333,0.37197,0.74715,-0.41729,0.86818,0.84026,0.13742,18.31736
1.93987,0.348,0.01004,209.08236,0.45913,0.426,0.03333,0.37973,0.69113,-0.6206,0.8169,0.83767,0.1632,26.77874
2.11568,0.332,0.01004,233.48622,0.48888,0.442,0.03333,0.3997,0.68999,-0.57395,0.86788,0.8472,0.11419,45.97762
2.10864,0.342,0.01205,281.99084,0.48078,0.43,-0.1,0.39226,0.69758,-0.59806,0.81755,0.84392,0.15952,42.39938
1.87846,0.35,0.00803,172.28196,0.48597,0.388,-0.1,0.38986,0.69418,-0.63649,0.81474,0.84113,0.12894,29.73014
2.04234,0.318,0.00201,195.3577,0.45907,0.424,-0.1,0.38063,0.6338,-0.63946,0.81749,0.84945,0.17385,22.86901
2.09935,0.366,0.00602,256.31787,0.52779,0.414,-0.16667,0.38703,0.67068,-0.67296,0.8357,0.84975,0.14824,26.02427
2.1133,0.35,0.00803,187.70874,0.45765,0.45,-0.03333,0.38181,0.59633,-0.69049,0.83977,0.84317,0.13474,25.27795
2.12166,0.35,0.01004,248.77934,0.52359,0.402,-0.16667,0.38231,0.6916,-0.55697,0.84847,0.84237,0.13596,22.82134
2.16926,0.352,0.01004,242.40987,0.48468,0.45,-0.16667,0.38462,0.73668,-0.54032,0.8321,0.84185,0.1433,23.42956
2.08701,0.332,0.01205,165.90701,0.5094,0.39,0.16667,0.38105,0.7323,-0.44576,0.84393,0.83843,0.13684,25.81114
1.91341,0.346,0.01004,172.99092,0.49134,0.382,0.1,0.37582,0.69156,-0.65595,0.85985,0.84427,0.13429,15.57198
1.90971,0.358,0.00402,208.90908,0.49373,0.388,-0.03333,0.40377,0.68411,-0.68554,0.83761,0.84339,0.15462,132.76568
2.02182,0.352,0.01205,291.63362,0.49302,0.428,0.03333,0.37804,0.70945,-0.62732,0.84561,0.84637,0.16803,24.15014
1.89132,0.352,0.01004,187.37544,0.50179,0.368,-0.1,0.3843,0.70733,-0.65844,0.83087,0.8407,0.1257,22.42081
1.93471,0.342,0.00803,165.98233,0.49123,0.396,-0.03333,0.38155,0.6949,-0.61237,0.83304,0.83454,0.1254,23.29493
1.75464,0.344,0.00803,206.01096,0.48281,0.35,0.03333,0.38728,0.67375,-0.6659,0.81316,0.84813,0.16228,38.58051
1.9685,0.356,0.00201,207.74098,0.51924,0.356,0.03333,0.3774,0.5525,-0.77629,0.85453,0.84545,0.14347,22.94766
2.1349,0.342,0.01004,200.32423,0.51937,0.418,-0.1,0.38401,0.69831,-0.53589,0.86121,0.84216,0.12102,25.19348
1.88837,0.338,0.01606,155.81501,0.46244,0.4,0.03333,0.38598,0.73611,-0.66154,0.83294,0.84993,0.11312,26.18037
2.10967,0.342,0.00602,253.68776,0.53899,0.398,0.03333,0.37572,0.64525,-0.66586,0.85599,0.8437,0.13049,20.4724
1.84936,0.366,0.00402,197.87014,0.50279,0.398,0.16667,0.39142,0.60825,-0.68827,0.83907,0.84267,0.12457,41.4753
2.09627,0.322,0.00402,212.37621,0.47236,0.448,-0.1,0.38417,0.69507,-0.59476,0.84058,0.83746,0.1471,26.47058
2.0356,0.322,0.00602,168.32016,0.44915,0.438,-0.1,0.3898,0.74583,-0.53316,0.83121,0.83935,0.13369,36.76958
1.73463,0.328,0.01004,152.43668,0.47259,0.332,-0.03333,0.38984,0.64477,-0.738,0.83896,0.8488,0.11359,24.90853
2.00098,0.324,0.00402,164.76183,0.46839,0.412,0.16667,0.3874,0.68774,-0.5667,0.82003,0.84812,0.14237,27.03272
1.99911,0.346,0.00803,251.03559,0.48274,0.412,-0.03333,0.38074,0.61366,-0.71877,0.84332,0.85126,0.1527,20.62204
2.16442,0.336,0.01606,235.79011,0.49569,0.442,-0.1,0.38401,0.70891,-0.55105,0.85531,0.83671,0.15079,40.76488
2.42031,0.31,0.01205,270.2277,0.43426,0.538,0.03333,0.38323,0.73402,-0.4507,0.82525,0.8377,0.129,20.75515
1.8791,0.334,0.01205,271.6416,0.47078,0.37,-0.16667,0.37068,0.67846,-0.65486,0.85061,0.84113,0.14944,17.87895
1.95144,0.36,0.01004,185.06852,0.50696,0.396,-0.23333,0.39362,0.63213,-0.65614,0.83347,0.84715,0.1502,65.66709
2.37029,0.344,0.01004,235.44641,0.49702,0.472,0.1,0.38131,0.72286,-0.31477,0.88703,0.8366,0.12337,24.11295
2.27805,0.328,0.01004,186.20369,0.4862,0.472,0.1,0.39896,0.64858,-0.45348,0.83435,0.83549,0.15132,201.44892
1.86723,0.342,0.00803,189.23316,0.491,0.364,0.03333,0.37812,0.73207,-0.56218,0.83,0.83444,0.14161,26.61536
2.35972,0.368,0.01406,262.3649,0.5048,0.488,-0.03333,0.38445,0.64475,-0.51512,0.83041,0.83592,0.14612,29.37674
1.98321,0.348,0.00201,181.73463,0.5126,0.4,0.1,0.39332,0.66001,-0.63535,0.85856,0.84104,0.11486,31.75114
1.97875,0.336,0.00402,200.42955,0.46374,0.432,-0.23333,0.37689,0.66342,-0.723,0.83244,0.84778,0.13928,14.08126
2.2094,0.326,0.00402,306.41902,0.47422,0.472,0.03333,0.3951,0.66067,-0.53358,0.84122,0.83285,0.18545,81.87325
2.06344,0.336,0.00803,146.86566,0.47799,0.43,0.23333,0.38952,0.6685,-0.6102,0.82472,0.84051,0.13456,38.76124
1.85047,0.344,0.01004,182.06632,0.47479,0.382,0.03333,0.39779,0.70973,-0.63055,0.83412,0.84005,0.12734,80.51739
1.81986,0.352,0.00201,188.94924,0.51217,0.322,-0.1,0.39392,0.61406,-0.8224,0.82113,0.85209,0.13992,35.19758
2.20828,0.36,0.00402,260.08447,0.49187,0.458,0.16667,0.39356,0.58844,-0.62913,0.83389,0.84332,0.14828,39.6973
2.05247,0.344,0.01606,200.67697,0.49072,0.418,0.03333,0.37431,0.72637,-0.53135,0.8241,0.83241,0.17603,26.10682
2.29711,0.338,0.00402,308.77792,0.50169,0.462,0.03333,0.368,0.69835,-0.53366,0.83708,0.85021,0.18889,16.99625
